eisced,eduyrs,hincfel,hinctnta,uemp12m,gincdif,pdwrk,trstplt,trstprt,trstun,stfdem,imueclt,imwbcnt,imbgeco,feethngr,brncntr,ppltrst,nwspol,netusoft,rlgdgr,aesfdrk,health,happy,gndr,agea,domicil,lrscale,is_populist_voter,cntry_BE,cntry_BG,cntry_CH,cntry_CY,cntry_ES,cntry_FI,cntry_FR,cntry_GB,cntry_GR,cntry_HR,cntry_HU,cntry_IE,cntry_IL,cntry_IS,cntry_IT,cntry_LV,cntry_NL,cntry_NO,cntry_PL,cntry_PT,cntry_RS,cntry_SE,cntry_SI,cntry_SK
5,11,2,7,6,2,1,4,5,6,5,6,5,6,1,1,7,15,4,7,1,1,9,1,33,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,5,6,1,1,7,7,9,8,8,5,9,1.2073333333333331,1,8,30,5,6,2,1,9,1,27,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,3,2,6,2,1,2,2,2,3,4,2,3,1,1,7,60,5,4,1,1,7,1,28,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,10,6,4,0,1,1,1,5,8,8,8,1,1,5,120,5,8,1,2,9,1,73,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,4,6,3,1,6,5,8,7,8,7,9,1,1,8,45,5,4,1,2,9,1,62,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,6,6,2,1,6,6,8,7,5,5,7,1,1,8,60,5,3,1,2,8,1,58,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,3,7,6,1,1,5,3,6,9,4,4,7,1,1,7,15,5,5,2,2,8,1,38,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,3,2.267666666666667,6,1,0,2,2,2,5,5,3,5,1,1,2,35,1,7,3,4,5,2,85,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,1,7,6,4,0,3,3,5,2,5.1226666666666665,4,7,1,1,5,30,4,6,1,2,4,2,74,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20,1,9,2,1,1,5,5,8,5,8,8,8,1,1,8,0,5,0,1,2,9,1,42,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,2,2,1,1,0,1,1,3,0,0,0,0,1,1,4,90,5,8,1,2,6,1,76,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
